gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_189	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_190	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_191	1.00000	1.00000	1.00000	1.00000	0.90580	0.90674	1.00000	0.90498	
gene_192	1.00000	0.94166	1.00000	1.00000	1.00000	0.65644	1.00000	1.00000	
gene_193	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	0.90498	
gene_194	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_195	1.00000	1.00000	1.00000	0.90090	1.00000	0.90674	1.00000	0.90498	
gene_196	1.00000	0.71023	1.00000	1.00000	1.00000	0.76419	1.00000	0.90498	
gene_197	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_198	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_199	1.00000	1.00000	0.90000	1.00000	1.00000	0.82938	1.00000	0.90498	
gene_200	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_201	1.00000	1.00000	0.90000	1.00000	1.00000	0.70398	1.00000	1.00000	
gene_202	1.00000	1.00000	1.00000	1.00000	0.90580	0.76419	0.74286	1.00000	
gene_203	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	1.00000	
gene_204	1.00000	1.00000	1.00000	0.90090	1.00000	1.00000	1.00000	1.00000	
gene_205	1.00000	1.00000	1.00000	0.73171	1.00000	1.00000	1.00000	1.00000	
gene_206	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
gene_207	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
gene_208	0.90226	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_209	1.00000	0.33148	1.00000	1.00000	1.00000	0.65644	0.90323	1.00000	
gene_210	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.90498	
gene_211	1.00000	1.00000	1.00000	1.00000	0.93987	1.00000	0.90323	1.00000	
gene_212	1.00000	1.00000	1.00000	1.00000	0.82781	0.70398	1.00000	1.00000	
gene_213	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	0.90323	0.90498	
gene_214	0.90226	1.00000	1.00000	1.00000	0.65232	1.00000	0.90323	0.90498	
gene_215	1.00000	1.00000	1.00000	0.90090	0.90580	0.70850	0.90323	1.00000	
gene_216	1.00000	1.00000	1.00000	1.00000	1.00000	0.50531	1.00000	1.00000	
gene_217	1.00000	1.00000	1.00000	1.00000	0.90580	0.61151	1.00000	0.90498	
gene_218	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.90323	1.00000	
gene_219	1.00000	1.00000	1.00000	1.00000	1.00000	0.65644	0.90323	0.90498	
gene_220	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	1.00000	
gene_221	1.00000	1.00000	1.00000	1.00000	0.90580	0.82938	1.00000	1.00000	
gene_222	1.00000	1.00000	1.00000	1.00000	0.82781	0.65644	1.00000	1.00000	
gene_223	0.90226	1.00000	1.00000	0.90090	1.00000	1.00000	1.00000	0.90498	
gene_224	1.00000	1.00000	1.00000	1.00000	0.90580	1.00000	1.00000	0.90498	
gene_225	1.00000	1.00000	0.90000	1.00000	1.00000	0.76419	0.90323	1.00000	
gene_226	0.90226	1.00000	1.00000	1.00000	1.00000	0.70398	0.90323	1.00000	
gene_227	1.00000	0.26059	1.00000	1.00000	0.90580	0.82938	1.00000	0.82645	
gene_228	1.00000	0.35552	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_229	1.00000	1.00000	1.00000	1.00000	1.00000	0.82938	1.00000	0.90498	
gene_230	0.82192	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.69610	
gene_231	1.00000	1.00000	1.00000	1.00000	0.90580	0.82938	0.90323	0.90498	
gene_232	1.00000	1.00000	1.00000	1.00000	0.93987	0.90674	1.00000	0.90498	
gene_233	1.00000	1.00000	1.00000	0.90090	0.90580	0.90674	1.00000	1.00000	
gene_234	1.00000	1.00000	1.00000	1.00000	0.90580	0.82938	1.00000	1.00000	
gene_235	1.00000	1.00000	0.90000	1.00000	0.90580	0.70398	1.00000	0.90498	
gene_236	1.00000	1.00000	1.00000	1.00000	1.00000	0.90674	1.00000	0.69610	
gene_237	1.00000	1.00000	0.72727	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_238	0.82192	1.00000	1.00000	0.90090	1.00000	0.76419	1.00000	1.00000	
