gene_number	group1	group2	group3	group4	group5	group6	group7	group8
gene_212	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_213	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_214	1.00000	0.62035	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_215	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_216	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_217	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_218	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_219	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_220	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_221	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_222	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_223	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_224	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_225	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_226	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_227	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.50909	1.00000	
gene_228	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.53846	1.00000	
gene_229	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_230	1.00000	0.52138	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_231	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_232	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_233	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_234	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_235	1.00000	0.24257	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_236	1.00000	0.55066	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_237	1.00000	0.58343	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_238	1.00000	0.34831	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_239	1.00000	0.32687	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_240	1.00000	1.00000	1.00000	0.53191	1.00000	1.00000	1.00000	1.00000	
gene_241	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.53846	1.00000	
gene_242	1.00000	0.28091	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_243	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_244	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	0.10694	
gene_245	1.00000	0.30791	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_246	1.00000	0.30215	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_247	1.00000	0.39082	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_248	1.00000	0.66225	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_249	1.00000	0.32038	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_250	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_251	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_252	1.00000	1.00000	1.00000	1.00000	0.61576	1.00000	1.00000	1.00000	
gene_253	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_254	1.00000	0.71023	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_255	1.00000	0.11761	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_256	1.00000	0.25825	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_257	1.00000	0.29660	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_258	1.00000	0.28091	1.00000	1.00000	1.00000	1.00000	1.00000	1.00000	
gene_259	1.00000	1.00000	1.00000	1.00000	0.51653	1.00000	1.00000	1.00000	
